study,study_id,cohort,measure,units,timepoint,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_med,inj_iqr,inj_range,noninj_med,noninj_iqr,noninj_range,lsi_med,lsi_iqr,lsi_range,notes,graft_group,es_id,timepoint_mean,acl_n,female,inj_mean,inj_sd,noninj_mean,noninj_sd,lsi_mean,lsi_sd,group,graft,group_indep,group_indep_notes,timepoint_combo,combination_notes,ri,yi,vi,sei,zi,pval,ci.lb,ci.ub
Arhos 2020a,#3251,Arhos 2020a,quad mvic 90,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,1,12,79,39,NA,NA,NA,NA,0.986037975,0.127650609,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.014060411,2.12E-04,0.014565175,-0.965344481,0.334372299,-0.04260763,0.014486807
Arhos 2020a,#3251,Arhos 2020a,quad mvic 90,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,2,24,79,39,NA,NA,NA,NA,1.009974684,0.145727527,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.009925265,2.64E-04,0.016233702,0.611398738,0.540935638,-0.021892206,0.041742735
Arhos 2020a,#3251,Arhos 2020a,single hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,3,12,79,39,NA,NA,NA,NA,0.978164557,0.079526472,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.022077364,8.37E-05,0.009147159,-2.413575999,0.015796833,-0.040005467,-0.004149261
Arhos 2020a,#3251,Arhos 2020a,single hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,4,24,79,39,NA,NA,NA,NA,0.997518987,0.077735475,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.002484095,7.69E-05,0.008767677,-0.283324246,0.776928293,-0.019668427,0.014700236
Arhos 2020a,#3251,Arhos 2020a,triple crossover hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,5,12,79,39,NA,NA,NA,NA,0.995341772,0.076521722,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.004669111,7.48E-05,0.008649658,-0.539802954,0.58933293,-0.02162213,0.012283908
Arhos 2020a,#3251,Arhos 2020a,triple crossover hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,6,24,79,39,NA,NA,NA,NA,1.002265823,0.067111218,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.00226326,5.68E-05,0.007533532,0.300424766,0.763853175,-0.012502192,0.017028712
Arhos 2020a,#3251,Arhos 2020a,triple hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,7,12,79,39,NA,NA,NA,NA,0.987607595,0.06373823,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.012469831,5.27E-05,0.007261094,-1.717348924,0.085915438,-0.026701313,0.001761651
Arhos 2020a,#3251,Arhos 2020a,triple hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,8,24,79,39,NA,NA,NA,NA,1.006189873,0.058683544,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.006170795,4.31E-05,0.006561798,0.940412213,0.34700616,-0.006690093,0.019031682
Arhos 2020a,#3251,Arhos 2020a,6m timed hop,lsi,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,9,12,94,39,NA,NA,NA,NA,1.021797872,0.060989789,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,0.021563696,3.79E-05,0.00615642,3.50263579,4.61E-04,0.009497335,0.033630056
Arhos 2020a,#3251,Arhos 2020a,6m timed hop,lsi,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,10,24,79,39,NA,NA,NA,NA,0.997367089,0.066590439,Non-Contact + Contact,Mixed,NA,NA,NA,NA,0.85,-0.002636384,5.64E-05,0.007511788,-0.350966206,0.725613702,-0.017359217,0.01208645
